"Annual Rate of Population Increase by Sex, Province or County,"
"statistical indicator and Census Year"

" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.3,-13.8,-10.5,-5.6,-14.6,-12.0,-6.3,-6.3,-5.1,-4.4,-9.4,-9.3,-14.5,-11.0,-5.2,10.8,5.7,2.3,-7.7,-0.9,4.9,25.7,25.5
" ","Louth"
" "," ","Population (Number)",128240,107662,90713,84021,77684,71038,65820,63665,62739,64339,66194,68771,69194,67378,69519,74951,86135,88514,91810,90724,92166,101821,111267,122897
" "," ","Population Change since previous Census (Number)",..,-20578,-16949,-6692,-6337,-6646,-5218,-2155,-926,1600,1855,2577,423,-1816,2141,5432,11184,2379,3296,-1086,1442,9655,9446,11630
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.3,-17.0,-7.6,-7.8,-8.9,-7.6,-3.3,-1.0,2.5,2.8,7.7,1.2,-5.3,6.3,15.2,17.5,13.7,7.3,-2.4,3.2,16.7,22.4,20.1
" ","Meath"
" "," ","Population (Number)",183828,140748,110373,95558,87469,76987,67497,65091,62969,61405,66232,66337,66762,65122,67323,71729,90715,95419,103881,105370,109732,134005,162831,184135
" "," ","Population Change since previous Census (Number)",..,-43080,-30375,-14815,-8089,-10482,-9490,-2406,-2122,-1564,4827,105,425,-1640,2201,4406,18986,4704,8462,1489,4362,24273,28826,21304
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.3,-24.0,-14.3,-8.8,-12.7,-13.1,-3.6,-2.2,-2.5,7.6,0.3,1.3,-5.0,6.7,12.8,29.8,25.6,17.1,2.9,8.1,33.9,49.9,24.9
" ","Offaly"
" "," ","Population (Number)",146857,112076,90043,75900,72852,65563,60187,56832,52592,51308,53686,52544,51970,51533,51717,51829,57342,58312,59835,58494,59117,63663,70868,76687
" "," ","Population Change since previous Census (Number)",..,-34781,-22033,-14143,-3048,-7289,-5376,-3355,-4240,-1284,2378,-1142,-574,-437,184,112,5513,970,1523,-1341,623,4546,7205,5819
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.7,-21.7,-16.9,-4.1,-10.5,-8.5,-5.7,-5.2,-2.5,4.5,-4.3,-2.2,-1.7,0.7,0.4,12.7,8.4,5.2,-4.5,2.1,12.4,27.2,15.9
" ","Westmeath"
" "," ","Population (Number)",141300,111407,90879,78432,71798,65109,61629,59986,56818,54706,54949,54463,54122,52861,52900,53570,59885,61523,63379,61880,63314,71858,79346,86164
" "," ","Population Change since previous Census (Number)",..,-29893,-20528,-12447,-6634,-6689,-3480,-1643,-3168,-2112,243,-486,-341,-1261,39,670,6315,1638,1856,-1499,1434,8544,7488,6818
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.5,-20.2,-14.6,-8.8,-9.7,-5.5,-2.7,-3.6,-3.8,0.4,-1.8,-1.3,-4.7,0.1,2.5,14.0,13.6,6.0,-4.8,4.6,21.3,25.1,16.6
" ","Wexford"
" "," ","Population (Number)",202033,180158,143954,132666,123854,111778,104104,102273,95848,94245,91855,90032,87259,83308,83437,86351,96421,99081,102552,102069,104371,116596,131749,145320
" "," ","Population Change since previous Census (Number)",..,-21875,-36204,-11288,-8812,-12076,-7674,-1831,-6425,-1603,-2390,-1823,-2773,-3951,129,2914,10070,2660,3471,-483,2302,12225,15153,13571
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-11.4,-22.2,-8.1,-6.8,-10.2,-7.1,-1.8,-4.3,-1.7,-2.6,-4.0,-6.2,-9.2,0.3,6.9,13.9,13.7,6.9,-0.9,4.5,18.6,31.0,19.8
" ","Wicklow"
" "," ","Population (Number)",126143,98979,86479,78697,70386,62136,60824,60711,57591,58569,60451,62590,59906,58473,60428,66295,83950,87449,94542,97265,102683,114676,126194,136640
" "," ","Population Change since previous Census (Number)",..,-27164,-12500,-7782,-8311,-8250,-1312,-113,-3120,978,1882,2139,-2684,-1433,1955,5867,17655,3499,7093,2723,5418,11993,11518,10446
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.0,-13.4,-9.4,-11.1,-12.4,-2.1,-0.2,-3.5,1.7,3.2,7.0,-8.7,-4.8,6.6,18.7,30.0,20.6,15.7,5.7,10.9,18.6,24.2,16.0
" ","Munster"
" "," ","Population (Number)",2396161,1857736,1513558,1393485,1331115,1172402,1076188,1035495,969902,942272,917306,898870,877238,849203,859334,882002,979819,998315,1020577,1009533,1033903,1100614,1173340,1246088
" "," ","Population Change since previous Census (Number)",..,-538425,-344178,-120073,-62370,-158713,-96214,-40693,-65593,-27630,-24966,-18436,-21632,-28035,10131,22668,97817,18496,22262,-11044,24370,66711,72726,72748
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.1,-20.3,-8.2,-4.6,-12.6,-8.5,-3.8,-4.4,-2.9,-2.7,-4.1,-4.9,-6.5,2.4,5.2,13.2,9.4,4.4,-2.2,4.8,10.5,16.1,12.1
" ","Clare"
" "," ","Population (Number)",286394,212440,166305,147864,141457,124483,112334,104232,95064,89879,85064,81329,77176,73702,73597,75008,84919,87567,91344,90918,94006,103277,110950,117196
" "," ","Population Change since previous Census (Number)",..,-73954,-46135,-18441,-6407,-16974,-12149,-8102,-9168,-5185,-4815,-3735,-4153,-3474,-105,1411,9911,2648,3777,-426,3088,9271,7673,6246
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-29.4,-24.2,-11.7,-4.4,-12.7,-10.2,-7.5,-6.1,-5.6,-5.5,-8.9,-10.4,-9.2,-0.3,3.8,15.6,15.5,8.5,-0.9,6.7,15.8,18.1,11.0
" ","Cork"
" "," ","Population (Number)",854118,649308,544818,517076,495607,438432,404611,392104,365747,355957,343668,341284,336663,330443,339703,352883,396118,402465,412735,410369,420510,447829,481295,519032
" "," ","Population Change since previous Census (Number)",..,-204810,-104490,-27742,-21469,-57175,-33821,-12507,-26357,-9790,-12289,-2384,-4621,-6220,9260,13180,43235,6347,10270,-2366,10141,27319,33466,37737
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-27.0,-17.4,-5.2,-4.2,-12.2,-8.0,-3.1,-4.6,-2.7,-3.5,-1.4,-2.7,-3.7,5.5,7.6,14.6,8.0,5.1,-1.1,4.9,10.5,18.2,15.2
" ","Kerry"
" "," ","Population (Number)",293880,238254,201800,196586,201039,179136,165726,159691,149171,139834,133893,126644,122072,116458,112785,112772,120356,122770,124159,121894,126130,132527,139835,145502
" "," ","Population Change since previous Census (Number)",..,-55626,-36454,-5214,4453,-21903,-13410,-6035,-10520,-9337,-5941,-7249,-4572,-5614,-3673,-13,7584,2414,1389,-2265,4236,6397,7308,5667
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-20.8,-16.5,-2.6,2.2,-11.5,-7.8,-3.7,-4.5,-6.4,-4.3,-11.1,-7.3,-9.4,-6.4,0.0,8.2,10.0,2.3,-3.7,6.9,8.3,13.5,8.0
" ","Limerick"
" "," ","Population (Number)",330029,262132,217277,191936,180632,158912,146098,143069,140343,141153,142559,141239,137881,133339,137357,140459,157407,161661,164569,161956,165042,175304,184055,191809
" "," ","Population Change since previous Census (Number)",..,-67897,-44855,-25341,-11304,-21720,-12814,-3029,-2726,810,1406,-1320,-3358,-4542,4018,3102,16948,4254,2908,-2613,3086,10262,8751,7754
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-22.8,-18.6,-12.3,-6.1,-12.7,-8.4,-2.1,-1.3,0.6,1.0,-1.9,-4.8,-6.7,6.0,4.5,14.3,13.4,3.6,-3.2,3.8,10.1,12.3,8.3
" ","Tipperary"
" "," ","Population (Number)",435553,331567,249106,216713,199612,173188,160232,152433,141015,137835,136014,133313,129415,123822,122812,123565,133741,135261,136619,132772,133535,140131,149244,158754
" "," ","Population Change since previous Census (Number)",..,-103986,-82461,-32393,-17101,-26424,-12956,-7799,-11418,-3180,-1821,-2701,-3898,-5593,-1010,753,10176,1520,1358,-3847,763,6596,9113,9510
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.9,-28.2,-13.8,-8.2,-14.1,-7.7,-5.0,-5.2,-2.3,-1.3,-4.0,-5.9,-8.8,-1.6,1.2,9.9,5.7,2.0,-5.7,1.1,8.1,15.9,12.4
" ","North Tipperary"
" "," ","Population (Number)",201161,147164,109220,93617,86331,76220,67815,62881,59645,59551,58103,57009,55697,53696,53843,54337,58476,58984,59522,57854,58021,61010,66023,70322
" "," ","Population Change since previous Census (Number)",..,-53997,-37944,-15603,-7286,-10111,-8405,-4934,-3236,-94,-1448,-1094,-1312,-2001,147,494,4139,508,538,-1668,167,2989,5013,4299
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-30.8,-29.4,-15.3,-8.1,-12.4,-11.6,-7.5,-3.5,-0.2,-2.5,-3.8,-4.6,-7.3,0.5,1.8,9.2,4.3,1.8,-5.7,0.6,8.4,19.9,12.7
" ","South Tipperary"
" "," ","Population (Number)",234392,184403,139886,123096,113281,96968,92417,89552,81370,78284,77911,76304,73718,70126,68969,69228,75265,76277,77097,74918,75514,79121,83221,88432
" "," ","Population Change since previous Census (Number)",..,-49989,-44517,-16790,-9815,-16313,-4551,-2865,-8182,-3086,-373,-1607,-2586,-3592,-1157,259,6037,1012,820,-2179,596,3607,4100,5211
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.7,-27.3,-12.7,-8.3,-15.4,-4.8,-3.1,-6.4,-3.9,-0.5,-4.2,-6.9,-9.9,-3.3,0.7,10.5,6.7,2.1,-5.7,1.6,7.8,12.7,12.2
" ","Waterford"
" "," ","Population (Number)",196187,164035,134252,123310,112768,98251,87187,83966,78562,77614,76108,75061,74031,71439,73080,77315,87278,88591,91151,91624,94680,101546,107961,113795
" "," ","Population Change since previous Census (Number)",..,-32152,-29783,-10942,-10542,-14517,-11064,-3221,-5404,-948,-1506,-1047,-1030,-2592,1641,4235,9963,1313,2560,473,3056,6866,6415,5834
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.7,-19.8,-8.5,-8.9,-13.7,-11.9,-3.8,-4.4,-1.2,-2.0,-2.8,-2.8,-7.1,4.6,11.3,15.3,7.5,5.7,1.0,6.6,11.7,15.4,10.6
" ","Connacht"
" "," ","Population (Number)",1418859,1010031,913135,846213,821657,724774,646932,610984,552907,525468,492797,471895,446221,419465,401950,390902,418500,424410,431409,423031,433231,464296,504121,542547
" "," ","Population Change since previous Census (Number)",..,-408828,-96896,-66922,-24556,-96883,-77842,-35948,-58077,-27439,-32671,-20902,-25674,-26756,-17515,-11048,27598,5910,6999,-8378,10200,31065,39825,38426
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.4,-10.0,-7.6,-2.9,-12.5,-11.3,-5.7,-6.6,-5.1,-6.4,-8.6,-11.1,-12.3,-8.5,-5.6,8.6,7.0,3.3,-3.9,4.8,11.6,20.8,14.8
" ","Galway"
