"Marriages Registered (Number) by Form of Ceremony, Bride and Groom, Age"
"Group and Year"

" "," "," ","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
" "," ","40 - 44 years",19,25,12,14,20,24,19,24,20,14,17,14,20,17,25
" "," ","45 - 49 years",11,10,8,9,8,9,8,8,4,3,12,3,14,15,15
" "," ","50 - 54 years",10,7,0,7,6,3,2,2,3,5,2,6,10,5,6
" "," ","55 - 59 years",11,2,3,4,3,4,0,5,1,5,1,4,5,3,5
" "," ","60 years and over",1,6,3,3,3,7,1,4,1,4,9,2,2,4,8
" "," ","Age not stated",16,0,2,1,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",781,514,539,553,530,526,534,447,427,448,433,453,445,393,372
"Presbyterian"
" ","Groom"
" "," ","Under 20 years",1,0,0,..,..,0,0,0,0,0,..,0,0,0,0
" "," ","20 - 24 years",13,9,14,6,5,4,8,7,7,5,2,5,2,3,3
" "," ","25 - 29 years",30,39,30,30,34,45,27,33,30,17,30,18,26,26,26
" "," ","30 - 34 years",35,37,45,32,47,41,57,29,32,26,23,29,29,28,22
" "," ","35 - 39 years",13,21,18,23,28,42,37,25,13,12,16,9,13,5,9
" "," ","40 - 44 years",6,11,8,8,16,19,13,5,2,0,7,6,5,5,5
" "," ","45 - 49 years",4,9,5,12,13,8,8,8,1,3,1,3,1,2,2
" "," ","50 - 54 years",5,2,2,2,8,8,4,2,2,0,..,1,2,1,1
" "," ","55 - 59 years",2,0,2,3,4,6,5,1,1,4,..,1,0,1,0
" "," ","60 years and over",3,0,3,3,6,3,1,1,1,0,5,0,3,2,1
" "," ","Age not stated",0,0,0,..,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",112,128,127,119,161,176,160,111,89,67,84,72,81,73,69
" ","Bride"
" "," ","Under 20 years",2,0,0,..,..,0,2,0,0,0,..,0,0,0,0
" "," ","20 - 24 years",15,19,17,15,16,18,12,15,12,9,10,6,10,4,10
" "," ","25 - 29 years",50,42,40,31,45,52,59,41,30,27,32,25,35,38,27
" "," ","30 - 34 years",23,46,42,40,38,52,48,30,32,18,23,26,24,23,17
" "," ","35 - 39 years",10,11,15,19,31,34,23,17,11,5,10,14,6,3,11
" "," ","40 - 44 years",5,5,4,7,12,8,7,4,1,4,4,0,1,2,2
" "," ","45 - 49 years",1,3,3,..,11,7,6,3,0,1,..,0,1,1,1
" "," ","50 - 54 years",4,1,2,6,5,3,2,0,3,1,1,0,2,2,0
" "," ","55 - 59 years",1,1,1,1,2,1,1,0,0,2,3,1,2,0,0
" "," ","60 years and over",1,0,3,..,1,1,0,1,0,0,1,0,0,0,1
" "," ","Age not stated",0,0,0,..,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",112,128,127,119,161,176,160,111,89,67,84,72,81,73,69
"Other religious denominations"
" ","Groom"
" "," ","Under 20 years",0,4,0,..,2,0,1,1,1,0,1,0,0,1,0
" "," ","20 - 24 years",13,8,11,12,8,3,23,21,24,20,25,33,36,36,38
" "," ","25 - 29 years",21,20,17,15,12,13,54,57,55,69,144,174,88,142,144
" "," ","30 - 34 years",20,18,13,9,17,11,49,53,77,116,286,394,154,222,294
" "," ","35 - 39 years",12,7,5,7,7,16,31,38,71,80,182,220,114,181,232
" "," ","40 - 44 years",3,2,1,5,7,5,20,25,32,46,112,120,71,115,108
" "," ","45 - 49 years",0,3,0,3,3,3,8,12,23,39,62,74,47,44,82
" "," ","50 - 54 years",2,2,1,1,2,2,18,11,13,24,45,57,22,44,40
" "," ","55 - 59 years",1,2,1,1,2,0,7,7,6,15,22,35,16,26,29
" "," ","60 years and over",0,2,0,1,..,1,5,6,4,7,23,31,18,20,32
" "," ","Age not stated",0,0,0,..,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",72,68,49,54,60,54,216,231,306,416,902,1138,566,831,999
" ","Bride"
" "," ","Under 20 years",1,2,0,4,1,0,4,6,4,5,4,4,5,10,4
" "," ","20 - 24 years",22,14,14,11,14,4,42,38,32,37,45,59,51,68,65
" "," ","25 - 29 years",25,24,13,15,19,21,62,59,78,86,199,236,114,156,166
" "," ","30 - 34 years",14,18,12,13,11,15,45,60,93,119,313,436,169,260,356
" "," ","35 - 39 years",6,5,4,6,7,9,30,26,45,82,177,183,112,161,192
" "," ","40 - 44 years",2,1,3,3,4,2,14,21,26,32,69,94,49,82,88
" "," ","45 - 49 years",1,2,2,2,2,1,10,11,17,29,51,71,27,45,62
" "," ","50 - 54 years",0,1,1,..,2,1,4,7,7,19,26,32,21,32,33
" "," ","55 - 59 years",1,1,0,..,..,1,3,1,1,4,13,15,12,7,13
" "," ","60 years and over",0,0,0,..,..,0,2,2,3,3,5,8,6,10,20
" "," ","Age not stated",0,0,0,..,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",72,68,49,54,60,54,216,231,306,416,902,1138,566,831,999
"Civil marriages"
" ","Groom"
" "," ","Under 20 years",56,69,44,40,34,22,20,21,13,7,10,8,8,6,6
" "," ","20 - 24 years",315,375,322,431,519,425,257,392,314,217,208,229,288,291,156
" "," ","25 - 29 years",755,863,789,937,1018,1081,1013,1357,1194,1027,1094,1114,1127,1095,795
" "," ","30 - 34 years",838,897,1027,1102,1159,1174,1213,1451,1559,1559,1598,1757,1745,1682,1533
" "," ","35 - 39 years",595,739,722,742,846,871,943,1057,1056,1061,1010,1118,1068,1147,1127
" "," ","40 - 44 years",386,481,495,546,595,576,683,683,719,673,646,676,696,669,656
" "," ","45 - 49 years",310,307,347,384,352,360,461,478,421,452,442,411,429,445,441
" "," ","50 - 54 years",210,196,259,274,258,271,290,346,304,305,318,306,314,293,303
" "," ","55 - 59 years",109,133,154,148,179,169,203,211,178,217,200,206,218,231,228
" "," ","60 years and over",104,101,126,158,167,194,216,218,233,250,271,271,274,297,343
" "," ","Age not stated",5,0,1,..,..,3,..,..,..,0,..,0,0,0,0
" "," ","All ages",3683,4161,4286,4762,5127,5146,5299,6214,5991,5768,5797,6096,6167,6156,5588
" ","Bride"
" "," ","Under 20 years",112,117,98,116,153,115,76,139,143,62,88,82,132,101,19
" "," ","20 - 24 years",529,621,543,664,759,702,528,788,580,453,428,452,559,475,254
" "," ","25 - 29 years",841,1022,1016,1102,1160,1173,1186,1435,1434,1280,1304,1336,1339,1330,1116
" "," ","30 - 34 years",825,949,1016,1112,1151,1227,1287,1514,1587,1638,1651,1818,1619,1753,1627
" "," ","35 - 39 years",597,604,636,710,769,774,902,913,948,964,968,1026,1027,997,1068
" "," ","40 - 44 years",345,393,457,445,493,461,557,606,551,572,512,548,601,606,565
" "," ","45 - 49 years",215,227,252,292,306,337,364,389,329,370,364,351,339,377,361
" "," ","50 - 54 years",118,144,148,182,196,201,210,234,231,222,256,229,266,235,261
" "," ","55 - 59 years",61,59,72,84,81,98,119,108,97,112,138,134,173,149,157
" "," ","60 years and over",35,25,44,55,59,58,70,88,91,95,88,120,112,133,160
" "," ","Age not stated",5,0,4,..,..,0,..,..,..,0,..,0,0,0,0
" "," ","All ages",3683,4161,4286,4762,5127,5146,5299,6214,5991,5768,5797,6096,6167,6156,5588
"The Humanist Association"
" ","Groom"
" "," ","Under 20 years",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","20 - 24 years",..,0,..,..,..,..,..,..,..,..,..,..,5,3,9
" "," ","25 - 29 years",..,0,..,..,..,..,..,..,..,..,..,..,119,169,172
" "," ","30 - 34 years",..,0,..,..,..,..,..,..,..,..,..,..,356,511,614
" "," ","35 - 39 years",..,0,..,..,..,..,..,..,..,..,..,..,215,314,359
" "," ","40 - 44 years",..,0,..,..,..,..,..,..,..,..,..,..,94,111,136
" "," ","45 - 49 years",..,0,..,..,..,..,..,..,..,..,..,..,46,57,62
" "," ","50 - 54 years",..,0,..,..,..,..,..,..,..,..,..,..,25,51,38
" "," ","55 - 59 years",..,0,..,..,..,..,..,..,..,..,..,..,17,23,25
" "," ","60 years and over",..,0,..,..,..,..,..,..,..,..,..,..,18,25,22
" "," ","Age not stated",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","All ages",..,0,..,..,..,..,..,..,..,..,..,..,895,1264,1437
" ","Bride"
" "," ","Under 20 years",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","20 - 24 years",..,0,..,..,..,..,..,..,..,..,..,..,14,11,16
" "," ","25 - 29 years",..,0,..,..,..,..,..,..,..,..,..,..,161,273,308
" "," ","30 - 34 years",..,0,..,..,..,..,..,..,..,..,..,..,426,562,652
" "," ","35 - 39 years",..,0,..,..,..,..,..,..,..,..,..,..,176,239,264
" "," ","40 - 44 years",..,0,..,..,..,..,..,..,..,..,..,..,52,78,101
" "," ","45 - 49 years",..,0,..,..,..,..,..,..,..,..,..,..,33,48,46
" "," ","50 - 54 years",..,0,..,..,..,..,..,..,..,..,..,..,16,28,28
" "," ","55 - 59 years",..,0,..,..,..,..,..,..,..,..,..,..,13,16,13
" "," ","60 years and over",..,0,..,..,..,..,..,..,..,..,..,..,4,9,9
" "," ","Age not stated",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
